"No.","Time","Source","Destination","Protocol","Length","Info"
"3124","529.396388","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3125","529.396412","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3126","529.399280","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3127","529.399302","1.1.3","host","USB","228","URB_ISOCHRONOUS in"
"3128","529.399308","host","1.1.3","USB","147","URB_ISOCHRONOUS in"
"3129","529.399330","1.2.3","host","USB","2079","URB_ISOCHRONOUS in"
"3130","529.399383","host","1.2.3","USB","159","URB_ISOCHRONOUS in"
"3131","529.402230","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3132","529.402342","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3133","529.402380","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3134","529.405242","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3135","529.405273","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3136","529.408295","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3137","529.408317","1.1.3","host","USB","228","URB_ISOCHRONOUS in"
"3138","529.408325","host","1.1.3","USB","147","URB_ISOCHRONOUS in"
"3139","529.409272","1.2.3","host","USB","2079","URB_ISOCHRONOUS in"
"3140","529.409426","host","1.2.3","USB","159","URB_ISOCHRONOUS in"
"3141","529.411227","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3142","529.411333","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3143","529.411367","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3144","529.414227","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3145","529.417223","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3146","529.417270","1.1.3","host","USB","228","URB_ISOCHRONOUS in"
"3147","529.417277","host","1.1.3","USB","147","URB_ISOCHRONOUS in"
"3148","529.417367","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3149","529.417393","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3150","529.419222","1.2.3","host","USB","2079","URB_ISOCHRONOUS in"
"3151","529.419266","host","1.2.3","USB","159","URB_ISOCHRONOUS in"
"3152","529.420232","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3153","529.420248","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3154","529.423256","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3155","529.426255","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3156","529.426315","1.1.3","host","USB","228","URB_ISOCHRONOUS in"
"3157","529.426334","host","1.1.3","USB","147","URB_ISOCHRONOUS in"
"3158","529.426487","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3159","529.426524","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3160","529.429283","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3161","529.429306","1.2.3","host","USB","2079","URB_ISOCHRONOUS in"
"3162","529.429334","host","1.2.3","USB","159","URB_ISOCHRONOUS in"
"3163","529.432277","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3164","529.432412","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3165","529.432499","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3166","529.435281","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
