"No.","Time","Source","Destination","Protocol","Length","Info"
"3743","120.519884","controller","host","HCI_EVT","45","Rcvd LE Meta (LE Advertising Report)"
"3744","120.519980","host","1.2.1","USB","27","URB_INTERRUPT in"
"3745","120.558167","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3746","120.558274","host","1.2.1","USB","27","URB_INTERRUPT in"
"3747","120.731936","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3748","120.732039","host","1.2.1","USB","27","URB_INTERRUPT in"
"3749","120.833884","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3750","120.833997","host","1.2.1","USB","27","URB_INTERRUPT in"
"3751","120.899237","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3752","120.899360","host","1.2.1","USB","27","URB_INTERRUPT in"
"3753","120.934885","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3754","120.935003","host","1.2.1","USB","27","URB_INTERRUPT in"
"3755","121.166978","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3756","121.167163","host","1.2.1","USB","27","URB_INTERRUPT in"
"3757","121.169900","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3758","121.170050","host","1.2.1","USB","27","URB_INTERRUPT in"
"3759","121.201880","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3760","121.201973","host","1.2.1","USB","27","URB_INTERRUPT in"
"3761","121.241193","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3762","121.241299","host","1.2.1","USB","27","URB_INTERRUPT in"
"3763","121.401894","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3764","121.402033","host","1.2.1","USB","27","URB_INTERRUPT in"
"3765","121.404928","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3766","121.405029","host","1.2.1","USB","27","URB_INTERRUPT in"
"3767","121.501135","controller","host","HCI_EVT","45","Rcvd LE Meta (LE Advertising Report)"
"3768","121.501237","host","1.2.1","USB","27","URB_INTERRUPT in"
"3769","121.574058","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3770","121.574161","host","1.2.1","USB","27","URB_INTERRUPT in"
"3771","121.610166","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3772","121.610271","host","1.2.1","USB","27","URB_INTERRUPT in"
"3773","121.645168","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3774","121.645273","host","1.2.1","USB","27","URB_INTERRUPT in"
"3775","121.672993","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3776","121.673098","host","1.2.1","USB","27","URB_INTERRUPT in"
"3777","121.675953","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3778","121.676054","host","1.2.1","USB","27","URB_INTERRUPT in"
"3779","121.711121","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3780","121.711231","host","1.2.1","USB","27","URB_INTERRUPT in"
"3781","121.743147","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3782","121.743253","host","1.2.1","USB","27","URB_INTERRUPT in"
"3783","121.780205","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3784","121.780311","host","1.2.1","USB","27","URB_INTERRUPT in"
"3785","122.157923","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3786","122.158018","host","1.2.1","USB","27","URB_INTERRUPT in"
"3787","122.231070","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3788","122.231173","host","1.2.1","USB","27","URB_INTERRUPT in"
"3789","122.332934","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3790","122.333038","host","1.2.1","USB","27","URB_INTERRUPT in"
"3791","122.364166","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3792","122.364270","host","1.2.1","USB","27","URB_INTERRUPT in"
"3793","122.392153","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3794","122.392262","host","1.2.1","USB","27","URB_INTERRUPT in"
"3795","122.432935","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3796","122.433072","host","1.2.1","USB","27","URB_INTERRUPT in"
"3797","122.472154","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3798","122.472260","host","1.2.1","USB","27","URB_INTERRUPT in"
"3799","122.529076","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3800","122.529179","host","1.2.1","USB","27","URB_INTERRUPT in"
"3801","122.541069","controller","host","HCI_EVT","45","Rcvd LE Meta (LE Advertising Report)"
"3802","122.541165","host","1.2.1","USB","27","URB_INTERRUPT in"
"3803","122.578973","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3804","122.579078","host","1.2.1","USB","27","URB_INTERRUPT in"
"3805","122.616885","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3806","122.617016","host","1.2.1","USB","27","URB_INTERRUPT in"
"3807","122.750929","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3808","122.751040","host","1.2.1","USB","27","URB_INTERRUPT in"
"3809","122.932223","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3810","122.932311","host","1.2.1","USB","27","URB_INTERRUPT in"
"3811","123.034959","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
